Prénom,Nom de famille,Numéro d’identification,Adresse de courriel,Groupes
MARTINE,GILBERT,22200148,martine.gilbert@unice.fr,G3
ISABELLE,PARIS,22202197,isabelle.paris@unice.fr,G4
LUCY,DE LA DUBOIS,22107995,lucy.de-la-dubois@unice.fr,G5
BENJAMIN,MARTINEZ-BARRE,22151005,benjamin.martinez-barre@unice.fr,G6
JOSETTE,BOURGEOIS,22181726,josette.bourgeois@unice.fr,G7
NICOLE,COSTE,22163297,nicole.coste@unice.fr,G8
JEAN,DE DE SOUSA,22228838,jean.de-de-sousa@unice.fr,G9
GUY,DE LA BOURDON,22177644,guy.de-la-bourdon@unice.fr,G0
GEORGES,FAURE,22290285,georges.faure@unice.fr,G1
ALEXANDRE,FRANÇOIS,22290287,alexandre.francois@unice.fr,G2
FRANÇOIS,REYNAUD,22108017,francois.reynaud@unice.fr,G3
GUY,OLLIVIER,22163316,guy.ollivier@unice.fr,G4
ISAAC,PERROT,22191997,isaac.perrot@unice.fr,G5
THÉOPHILE-JACQUES,VOISIN,22261634,theophile-jacques.voisin@unice.fr,G6
OLIVIE,TOUSSAINT,22243206,olivie.toussaint@unice.fr,G7
SIMONE,BERTHELOT,22216585,simone.berthelot@unice.fr,G8
ADÉLAÏDE,HAMEL DE HUMBERT,22273930,adelaide.hamel-de-humbert@unice.fr,G9
JULIETTE,DESCHAMPS-MERLE,22259596,juliette.deschamps-merle@unice.fr,G0
GRÉGOIRE-PAUL,MASSE,22261644,gregoire-paul.masse@unice.fr,G1
ALEXANDRE,DUFOUR,22126476,alexandre.dufour@unice.fr,G2
AURÉLIE,COHEN,22265748,aurelie.cohen@unice.fr,G3
ÉMILIE,DIDIER-LENOIR,22149112,emilie.didier-lenoir@unice.fr,G4
ANOUK,BODIN,22290332,anouk.bodin@unice.fr,G5
EMMANUEL,LEROUX DU PEREZ,22120351,emmanuel.leroux-du-perez@unice.fr,G6
DENIS,GUILBERT DU NAVARRO,22134694,denis.guilbert-du-navarro@unice.fr,G7
MICHELLE,GRÉGOIRE,22103982,michelle.gregoire@unice.fr,G8
ALEXANDRIA,WEBER,22276014,alexandria.weber@unice.fr,G9
LAURENT,LAROCHE,22202288,laurent.laroche@unice.fr,G0
CHANTAL-ADRIENNE,MARTIN,22243256,chantal-adrienne.martin@unice.fr,G1
EUGÈNE-ROGER,ROCHE,22259642,eugene-roger.roche@unice.fr,G2
JEANNE,DE LA LACOMBE,22173626,jeanne.de-la-lacombe@unice.fr,G3
CÉCILE,COLIN,22263739,cecile.colin@unice.fr,G4
THÉOPHILE,HUBERT,22175678,theophile.hubert@unice.fr,G5
LUCY,BERTRAND,22173640,lucy.bertrand@unice.fr,G6
ASTRID-AGNÈS,LE ROUX,22179787,astrid-agnes.le-roux@unice.fr,G7
RICHARD,EVRARD DE DELAHAYE,22124493,richard.evrard-de-delahaye@unice.fr,G8
JULIE,RENARD,22120400,julie.renard@unice.fr,G9
RICHARD,HUET LE MOREAU,22200274,richard.huet-le-moreau@unice.fr,G0
CHRISTELLE,POULAIN,22259674,christelle.poulain@unice.fr,G1
SUSANNE,DE LAURENT,22245342,susanne.de-laurent@unice.fr,G2
ÉDOUARD,CHARRIER,22140914,edouard.charrier@unice.fr,G3
ÉMILIE,DE SIMON,22106104,emilie.de-simon@unice.fr,G4
JULIEN,CHARPENTIER,22286332,julien.charpentier@unice.fr,G5
